profile,condition,slew_rate,mean_dt,median_dt,std_dt,p95_dt,p99_dt,gt_20m,gt_40m,gt_60m,pct_E,pct_E4,pct_B0,pct_H9plus,recovery_to_B0,recovery_to_stable,sawtooth,time_stuck_in_E,robustness
H1,WITH_STALLS,1,602.178248,307.46,1069.4440258782543,1832.24,6847.54,524.4,164.24,114.42,56.3724,8.1376,41.6572,0.0,5.1,133.86,0,144.82,0.8997098657605908
H3,HIGH_VAR,1,602.343844,329.26,937.9849559847921,2031.18,4131.24,633.32,178.44,70,27.1672,0.6768,61.9124,0.0008,12.46,117.02,0.76,40.86,0.5814763606755574
H3,NORMAL,3,603.163004,321.74,1653.1359465324933,1802.42,3762.74,565.72,129.14,53.72,33.3296,9.427200000000001,62.9888,0.1668,18.38,117.82,151.9,155.7,2.3745846758624594
H1,WITH_STALLS,3,602.13978,285.05,1344.1770995601507,1830.72,7105.58,498.24,170.24,121.9,52.0024,14.4744,46.8564,0.0552,6.72,140.74,50.18,185.58,1.1907922920715972
H3,HIGH_VAR,3,603.555324,269.51,2097.596246563202,1880.52,4603.78,531.3,163.42,77.24,35.2088,12.2888,60.5056,0.2512,16.7,122.58,223.74,196.64,3.8493814542376246
H3,WITH_STALLS,1,603.382664,307.89,1072.9229547922994,1839.86,6859.52,525.76,165.12,114.64,56.2904,8.1584,41.5956,0.0,11.66,139.66,0,144.92,0.897203173077094
H6,NORMAL,1,603.564352,381.96,743.263935021918,1884.84,3313.96,659.36,131.54,38.92,29.5964,0.3188,61.8252,0.0,17.18,110.46,0,25.48,0.6522890927388869
H6,NORMAL,3,603.9786799999999,320.93,1659.619392582554,1801.34,3771.62,564.18,129.54,54.18,33.7252,9.5264,62.566,0.1748,25.82,119.68,154.82,152.12,2.047633167083104
H3,WITH_STALLS,3,603.276564,285.07,1350.5216023201463,1829.86,7117.46,498.86,170.9,122.26,51.9532,14.4544,46.8304,0.0532,15.2,152.94,47.26,186.32,0.9723209176197055
H6,HIGH_VAR,1,603.507668,329.78,945.5491875495974,2034.62,4156.66,635.7,178.54,70.96,27.0432,0.7112,61.9476,0.0012000000000000001,16.36,118.32,1.14,45.12,0.5667033599148448
H6,HIGH_VAR,3,604.907764,266.25,2220.229317870132,1871.7,4561.1,528,160.86,75.68,36.1488,13.3016,59.49,0.2628,34.26,134.72,231.7,211.86,4.137459240998332
H6,WITH_STALLS,1,604.58198,307.94,1078.1556512982322,1842.78,6873.14,527.22,165.98,115.14,56.2672,8.1736,41.5528,0.0,14.52,149.7,0,143.34,0.9015479742065446
H6,WITH_STALLS,3,604.49692,285.06,1380.518179796106,1839.38,7099.2,501,171.38,122.54,51.8676,14.6152,46.85,0.0512,28.48,142.6,45.42,196.36,0.9751482842760509
H9,NORMAL,1,604.73472,381.97,753.3438366451546,1885.04,3326.62,661.52,131.22,38.86,29.6432,0.3436,61.7708,0.0,21.2,116.52,0,25.68,0.6302949772664745
H9,NORMAL,3,605.118244,320.7,1681.4566231486053,1798.46,3805.1,562,129.08,54.62,33.7956,9.704,62.476,0.1804,21.96,123.62,162.82,153.94,1.247117720113229
H9,HIGH_VAR,1,604.69604,329.64,944.1651418646452,2041.26,4167.54,636.52,179.22,71.98,27.0384,0.6628,61.9352,0.0008,21.68,118.02,0.76,41.68,0.5497902056276349
H9,WITH_STALLS,1,605.78274,308.32,1080.5917976833587,1848.88,6875.38,529.22,166.96,115.84,56.1864,8.174,41.5596,0.0,18.68,140.92,0,146.54,0.8920011945173596
H9,HIGH_VAR,3,605.0361,272.63,1964.7870768128093,1903.18,4697.02,539.26,166.16,78.52,34.2364,11.1532,61.3708,0.2536,32.1,126.48,225,184.28,0.5779957774720349
H9,WITH_STALLS,3,605.764384,285.69,1368.5990393341733,1847.24,7115.62,502.5,172.34,123,51.806400000000004,14.4744,46.8724,0.0516,24.24,147.34,47.06,191.04,1.197231112219065
